date,country,daily_hits
20180107,LV,2
20180106,LV,3
20180104,LV,3
20180103,LV,2
20180102,LV,7
20180112,LY,1
20180103,LY,1
20180102,LY,1
20180112,MA,1
20180111,MA,8
20180110,MA,2
20180109,MA,1
20180108,MA,5
20180107,MA,4
20180106,MA,3
20180105,MA,3
20180104,MA,2
20180103,MA,1
20180102,MA,5
20180101,MA,1
20180112,MD,2
20180111,MD,2
20180110,MD,3
20180109,MD,1
20180107,MD,2
20180106,MD,2
20180105,MD,1
20180104,MD,3
20180103,MD,3
20180112,ME,1
20180110,ME,1
20180107,ME,1
20180101,ME,1
20180105,MG,2
20180111,MK,1
20180109,MK,1
20180108,MK,3
20180107,MK,3
20180105,MK,2
20180103,MK,1
20180102,MK,1
20180101,MK,1
20180107,ML,1
20180103,ML,1
20180112,MM,1
20180111,MM,1
20180110,MM,2
20180108,MM,1
20180106,MM,1
20180105,MM,1
20180101,MM,1
20180110,MN,1
20180108,MN,1
20180106,MN,1
20180105,MN,1
20180104,MN,1
20180102,MN,1
20180101,MN,1
20180110,MO,1
20180107,MO,1
20180104,MO,1
20180103,MO,1
20180102,MO,3
20180110,MP,1
20180112,MQ,1
20180111,MR,1
20180110,MT,1
20180108,MT,1
20180107,MT,1
20180106,MT,1
20180103,MT,1
20180112,MU,1
20180110,MU,4
20180109,MU,1
20180108,MU,2
20180107,MU,1
20180105,MU,2
20180111,MW,1
20180112,MX,21
20180111,MX,21
20180110,MX,9
20180109,MX,16
20180108,MX,20
20180107,MX,17
20180106,MX,21
20180105,MX,12
20180104,MX,19
20180103,MX,16
20180102,MX,16
20180101,MX,13
20180112,MY,12
20180111,MY,7
20180110,MY,14
20180109,MY,11
20180108,MY,10
20180107,MY,12
20180106,MY,13
20180105,MY,10
20180104,MY,8
20180103,MY,9
20180102,MY,14
20180101,MY,5
20180105,MZ,1
20180107,NC,1
20180103,NE,1
20180112,NG,1
20180110,NG,1
20180109,NG,2
20180108,NG,5
20180107,NG,2
20180106,NG,1
20180104,NG,1
20180102,NG,2
20180112,NI,3
20180111,NI,1
20180108,NI,1
20180106,NI,1
20180105,NI,2
20180104,NI,1
20180103,NI,1
20180102,NI,1
20180112,NL,41
20180111,NL,20
20180110,NL,24
20180109,NL,27
20180108,NL,27
20180107,NL,38
20180106,NL,26
20180105,NL,29
20180104,NL,26
20180103,NL,24
20180102,NL,24
20180101,NL,26
20180112,NO,8
20180111,NO,4
20180110,NO,11
20180109,NO,10
20180108,NO,7
20180107,NO,15
20180106,NO,11
20180105,NO,11
20180104,NO,2
20180103,NO,4
20180102,NO,7
20180101,NO,3
20180112,NP,2
20180111,NP,2
20180110,NP,1
20180108,NP,1
20180107,NP,2
20180106,NP,3
20180105,NP,2
20180104,NP,1
20180103,NP,2
20180101,NP,3
20180112,NZ,11
20180111,NZ,8
20180110,NZ,12
20180109,NZ,4
20180108,NZ,9
20180107,NZ,6
20180106,NZ,14
20180105,NZ,4
20180104,NZ,6
20180103,NZ,6
20180102,NZ,3
20180101,NZ,5
20180112,OM,1
20180111,OM,2
20180110,OM,2
20180106,OM,1
20180105,OM,1
20180101,OM,2
20180110,PA,1
20180108,PA,1
20180107,PA,1
20180106,PA,2
20180105,PA,2
20180104,PA,1
20180102,PA,1
20180101,PA,1
20180111,PE,4
20180110,PE,3
20180109,PE,3
20180108,PE,6
20180107,PE,13
20180106,PE,2
20180105,PE,1
20180104,PE,5
20180103,PE,3
20180102,PE,4
20180101,PE,4
20180112,PH,12
20180111,PH,9
20180110,PH,17
20180109,PH,14
20180108,PH,7
20180107,PH,20
20180106,PH,12
20180105,PH,8
20180104,PH,13
20180103,PH,7
20180102,PH,15
20180101,PH,8
20180112,PK,4
20180111,PK,7
20180110,PK,3
20180109,PK,4
20180108,PK,5
20180107,PK,8
20180106,PK,8
20180105,PK,7
20180104,PK,6
20180103,PK,6
20180102,PK,11
20180101,PK,12
20180112,PL,90
20180111,PL,79
20180110,PL,74
20180109,PL,92
20180108,PL,76
20180107,PL,82
20180106,PL,80
20180105,PL,68
20180104,PL,102
20180103,PL,77
20180102,PL,63
20180101,PL,58
20180112,PR,1
20180111,PR,2
20180109,PR,1
20180108,PR,2
20180106,PR,2
20180105,PR,1
20180102,PR,1
20180112,PT,9
20180111,PT,4
20180110,PT,11
20180109,PT,6
20180108,PT,3
20180107,PT,5
20180106,PT,3
20180105,PT,6
20180104,PT,6
20180103,PT,2
20180102,PT,10
20180101,PT,2
20180112,PY,1
20180111,PY,2
20180106,PY,1
20180105,PY,1
20180112,QA,5
20180111,QA,1
20180110,QA,5
20180109,QA,1
20180107,QA,1
20180105,QA,1
20180104,QA,1
20180103,QA,1
20180101,QA,1
20180111,RO,1
20180109,RO,1
20180112,RO,7
20180111,RO,6
20180110,RO,9
20180109,RO,5
20180108,RO,6
20180107,RO,9
20180106,RO,8
20180105,RO,5
20180104,RO,8
20180103,RO,13
20180102,RO,8
20180101,RO,10
20180112,RS,4
20180111,RS,7
20180110,RS,4
20180109,RS,13
20180108,RS,9
20180107,RS,8
20180106,RS,1
20180105,RS,2
20180104,RS,7
20180103,RS,10
20180102,RS,2
20180101,RS,3
20180112,RU,148
20180111,RU,130
20180110,RU,105
20180109,RU,122
20180108,RU,118
20180107,RU,110
20180106,RU,92
20180105,RU,149
20180104,RU,96
20180103,RU,144
20180102,RU,72
20180101,RU,70
20180111,RW,1
20180112,SA,6
20180111,SA,4
20180110,SA,5
20180109,SA,6
20180108,SA,5
20180107,SA,6
20180106,SA,5
20180105,SA,7
20180104,SA,12
20180103,SA,8
20180102,SA,3
20180101,SA,9
20180112,SE,26
20180111,SE,22
20180110,SE,16
20180109,SE,15
20180108,SE,13
20180107,SE,15
20180106,SE,12
20180105,SE,14
20180104,SE,18
20180103,SE,17
20180102,SE,18
20180101,SE,11
20180112,SG,15
20180111,SG,15
20180110,SG,19
20180109,SG,9
20180108,SG,10
20180107,SG,9
20180106,SG,10
20180105,SG,7
20180104,SG,16
20180103,SG,9
20180102,SG,11
20180101,SG,8
20180112,SI,1
20180111,SI,2
20180110,SI,3
20180109,SI,3
20180108,SI,2
20180107,SI,5
20180106,SI,3
20180105,SI,4
20180104,SI,4
20180103,SI,1
20180102,SI,2
20180101,SI,2
20180112,SK,3
20180111,SK,4
20180110,SK,3
20180109,SK,3
20180108,SK,6
20180107,SK,7
20180106,SK,8
20180105,SK,5
20180104,SK,5
20180103,SK,2
20180102,SK,6
20180101,SK,4
20180107,SN,1
20180106,SN,1
20180104,SN,1
20180103,SN,1
20180102,SO,1
20180101,SR,1
20180112,SV,2
